"Timestamp","I have read the description of the testing and of my rights as the participant presented above. I hereby voluntarily agree to participate in the study ","Have you started downloading the game?","Please enter the Participant Code that was given to You","Please indicate Your gender","Please indicate Your age","Please list out 3 of Your favorite games","Choose one of the following archetypes that best suits You","Have you completed the game?","If You had experienced any technical issues, please describe them and write how they influenced your gameplay","If You have any additional comments, please add them here"
"2020/11/27 1:50:52 PM GMT+1","Yes","Yes!","B00","Male","22","World of Warcraft, League of Legends, Pokemon","Seeker - curious about the game world and enjoys moments of wonder.","Yes!","","The part I enjoyed the most was the soundtrack.
When the Narrator speaks, the music should be turned down by around 65%
Liked the direction of the art style, though I would prefer more detail.
The skybox felt sort of too empty, unnatural. It needs more clouds maybe. It's clear that something is missing.
The controls should feel a lot more smooth.
Going through the traps/obstacles feels clunky and slightly annoying instead of fun because of the controls. Especially annoying was going through the field of beans or whatever those green plants are. A challenge is okay, but there were about a third maybe a fourth too many.
The chase felt too long/meaningless because of the lack of traps and or obstacles. There weren't enough things happening to warrant such a long chase.
Also, the bee shouldn't wait for you, it should keep going and you'd have to catch it.
Note that when you do this, you should include an option to pause the game. 
The whole chase should be more like an actual obstacle course.
When you hold down e to complete an action, change the timer to be 1-1.5sec faster.
Also, change the color of the inner bar (when holding down e) cause it's not very visible.
One last thing: Tell the player at the very beginning that he will have to find their way back so they should remember the course.
General thoughts: The game has replayability potential, though it needs more work."
"2020/11/27 2:52:51 PM GMT+1","Yes","Yes!","B05","Female","20","Portal 2, To The Moon, Terraria","Mastermind - enjoys solving puzzles and devising strategies, as well as focusing on making the most efficient decisions.","Yes!","No technical issues. ","It's weird that you can jump on plants as a full grown-ass bear and jump from one another. Also, I would recommend to let bees sting you only 3 times, as there are 3 of them and when bees sting they inevitably die. Still, a lovely game with a funky soundtrack and extremely cutely drawn cutscene. Thank you for including captions."
"2020/11/27 3:50:30 PM GMT+1","Yes","Yes!","B08","Male","17","League of legends, World of warcraft and Apex legends","Conqueror - enjoys defeating impossibly difficult foes, struggling until they achieve victory, and beating other players.","Yes!","I did not any of that","I loved the game, good job on that and good luck with the exam!"
"2020/11/27 5:48:54 PM GMT+1","Yes","Yes!","B09","Male","22","Fallout New Vegas, Mafia II, Mass Effect 2","Achiever - goal-oriented, motivated by long-term achievements. Preference for Achiever-style play is rooted in ‘ticking boxes’.","Yes!","Had no technical issues, overall game ran very smoothly. ","Overall, the bear controlled very smoothly the only thing that was a bit difficult was jumping on the rocks because it was hard to tell the size of the character. "
"2020/11/28 9:48:06 AM GMT+1","Yes","Yes!","B01","Male","26","Bastion, Divinity Original Sin 2, Hollow Knight","Seeker - curious about the game world and enjoys moments of wonder.","Yes!","","On getting the text file to send back I accidently click on the game again - don't know if that overwrote the data"
"2020/11/28 1:49:01 PM GMT+1","Yes","Yes!","B04","Male","20","-Rocket League
-Life is Strange
-The last of us","Seeker - curious about the game world and enjoys moments of wonder.","Yes!","No major ones, only thing I noticed was that the voice-over audio only goes through the right ear","Actually a beautiful game! Had fun exploring a little even though it didn't really feel like it was encouraged as I was scared to lose the bee/get stung on the way back"
"2020/11/28 2:54:46 PM GMT+1","Yes","Yes!","B12","Male","22","Fallout 1&2, Far Cry 2, Red Dead Redemption 2","Conqueror - enjoys defeating impossibly difficult foes, struggling until they achieve victory, and beating other players.","Yes!","","The bees were too large. You had to be feeding them growth hormone, creatine and bathing them in Chernobyl river water for them to be that big. Plus, I got lost a bunch of times and had to run around in circles since I had no map. But then again, it's partially because I'm mentally disabled. The game's mechanics could use some improvements, because the movement wasn't as fluid as it could be, which was especially apparent when I had to jump on those boulders to make it through the tunnel. Other than that, the game could use a bit of a more developed backstory  and a more refined scenario, since I've found it to be somewhat simplistic. For example, the bear was a schizophrenic and he had no family and was having a psychotic episode and in the end he jumped into the lake and woke up in the psychiatric ward as an 80 year old woman from Alabama. Also, I wish I had a gun and could murder those bees for having the sheer audacity to try to kill me with their katana stingers just for borrowing a little bit of honey to feed my starving family. And the last point - I tried jumping into the lake in the end to conclude my pointless existence and end my pathological suffering, but was teleported back from the lake every time. A metaphor for the way god treats me in real life, it seems. Other than that, you can obviously create great game with your skills. Also, the music is a clear 10/10 - had me on my toes while I was running away from those obese insects."
"2020/11/28 6:09:37 PM GMT+1","Yes","Yes!","B14","Male","22","Warcraft 3, Borderlands 2, Stronghold Crusader","Mastermind - enjoys solving puzzles and devising strategies, as well as focusing on making the most efficient decisions.","Yes!","frame rate and unresponsive movement controls in the cave following the bee","very cute"
"2020/11/28 6:16:54 PM GMT+1","Yes","Yes!","B17","Male","24","Kingdom hearts 2, Fairy tail, League of Legends","Seeker - curious about the game world and enjoys moments of wonder.","Yes!","Didn't had any trouble, no lag runned smoothly","Longest chase in my life could have made it shorter and less unnecessary paths, found like 4 dead ends so had to run all the way back and go another way, otherwise pretty good "
"2020/11/28 6:50:18 PM GMT+1","Yes","Yes!","B07","Male","23","Fallout 4, World war Z, This war of Mine ","Socialiser - finds people to be a primary source of enjoyment. They like talking to them, helping them, and hanging around with people they trust.","Yes!","","i got lost alot "
"2020/11/29 3:09:29 PM GMT+1","Yes","Yes!","B21","Male","21","League of Legends, Apex Legends, Witcher 3","Survivor - enjoys the intensity of strong negative experiences like terror.","Yes!","Everything was fine, but I couldn't jump into a pond :(","This type of game is kinda too long for me"
"2020/11/29 6:21:36 PM GMT+1","Yes","Yes!","B23","Male","25","Valorant, Dota2, CS:GO","Achiever - goal-oriented, motivated by long-term achievements. Preference for Achiever-style play is rooted in ‘ticking boxes’.","Yes!","No technical issues at all","I didn't like the way the W key worked. It felt like after holding W few seconds you moved too much, so movement didn't feel precise."
"2020/11/30 12:50:06 PM GMT+1","Yes","Yes!","B25","Male","22","Witcher 3, fallout 4, portal 2","Survivor - enjoys the intensity of strong negative experiences like terror.","Yes!","The game crashed when i was standing AFK for 1min and then at the end of the game, when i got to the lake, it crashed as well",""
"2020/11/30 4:19:59 PM GMT+1","Yes","Yes!","B27","Male","26","Half Life 2. The legend of Zella breath of the wild. Kingdom Come: Deliverance","Seeker - curious about the game world and enjoys moments of wonder.","Yes!","No everything was quite smooth","The movement feels a little weird. as there is no acceleration but only no speed and full speed and it took some getting used to."
"2020/11/30 5:51:48 PM GMT+1","Yes","Yes!","B13","Male","23","Grand theft auto, Counter strike, Track mania","Daredevil  - all about the thrill of the chase, the excitement of risk taking and generally playing on the edge.","Yes!","No issues","Its hard to find home after such a long walk :)"
"2020/11/30 6:02:44 PM GMT+1","Yes","Yes!","B22","Male","24","Borderlands, Assassin's Creed 2, Portal 2","Socialiser - finds people to be a primary source of enjoyment. They like talking to them, helping them, and hanging around with people they trust.","Yes!","clicking ""jump"" a bit faster makes the bear jump on its own without input, i got stuck in the middle of the vines while running from the bees, could not move in any direction until I got hit by the bees and they knocked out of the vines.",""
"2020/11/30 6:04:11 PM GMT+1","Yes","Yes!","B06","Male","25","Overwatch, Spider man (ps4),Borderlands 2.","Mastermind - enjoys solving puzzles and devising strategies, as well as focusing on making the most efficient decisions.","Yes!","","Everything looks amazing makes feel like you are in the adaventure time world. And one problem I was searching long time for easter eggs but cant find it."
